DATE,MATCHUP,SCORE,SPREAD,MINS,PROP_LINE,PTS,REBS,ASTS,3PTM,STLS,BLKS,FG%,FT%,3PT%
11/22,DAL,L 104-101,DAL -1.0,36,26.5,U 26,9,7,4,0,0,9-19 (47%),4-7 (57%),4-9 (44%)
11/21,UTH,W 131-99,LAL -7.5,24,25.5,U 17,7,9,3,0,0,6-10 (60%),2-2 (100%),3-5 (60%)
11/19,HOU,W 105-104,HOU +6.0,40,24.5,O 37,6,8,2,3,0,14-19 (74%),7-9 (78%),2-5 (40%)
11/17,@POR,W 107-95,LAL -9.5,35,23.5,O 35,5,9,5,2,0,13-22 (59%),4-6 (67%),5-9 (56%)
11/15,SAC,L 125-110,SAC +1.0,35,23.5,O 28,10,12,3,4,1,9-15 (60%),7-8 (88%),3-7 (43%)
11/14,MEM,W 134-107,LAL -6.5,23,23.5,U 16,9,6,3,1,0,6-11 (55%),1-2 (50%),3-6 (50%)
11/10,@PHO,W 122-119,LAL +2.0,36,NL,32,11,6,3,1,1,11-17 (65%),7-11 (64%),3-4 (75%)
11/8,@HOU,L 128-94,HOU +2.0,27,26.5,U 18,6,2,0,0,0,7-13 (54%),4-5 (80%),0-2 (0%)
11/6,@MIA,L 108-107,LAL +1.5,37,22.5,O 30,4,3,0,1,3,13-23 (57%),4-4 (100%),0-4 (0%)
11/4,@ORL,L 120-101,ORL +3.5,35,22.5,O 24,9,5,2,3,0,8-15 (53%),6-7 (86%),2-5 (40%)
11/1,LAC,W 130-125,LAL -3.0,42,21.5,O 35,12,7,4,1,2,13-19 (68%),5-10 (50%),4-8 (50%)
10/30,ORL,W 106-103,ORL +3.5,33,20.5,U 19,3,4,2,3,1,7-17 (41%),3-4 (75%),2-6 (33%)
10/29,@SAC,L 132-127,SAC -2.5,39,22.5,O 27,15,8,3,0,0,11-19 (58%),2-6 (33%),3-8 (38%)
10/26,PHO,W 100-95,PHO +6.5,35,20.5,O 21,8,9,1,2,2,7-14 (50%),6-8 (75%),1-5 (20%)
10/24,@DEN,L 119-107,DEN -4.5,29,23.5,U 21,8,5,1,1,0,10-16 (63%),0-1 (0%),1-4 (25%)
